Day,pnl_absolute,cum_pnl,roi,returns,pnl_absolute fro excel sheet ,difference
2023-03-31,-120,-18180,-12.12,-12.12,422.5,542.5
2023-04-03,392.5,-17787.5,-11.86,-11.8583333333333,-66.25,-458.75
2023-04-05,667.5,-17120,-11.41,-11.4133333333333,1593.75,926.25
2023-04-06,-1588.75,-18708.75,-12.47,-12.4725,-2552.5,-963.75
2023-04-10,126.25,-18582.5,-12.39,-12.3883333333333,5881.25,5755
2023-04-11,-858.75,-19441.25,-12.96,-12.9608333333333,-6315,-5456.25
2023-04-12,-275,-19716.25,-13.14,-13.1441666666667,868.75,1143.75
2023-04-13,-1456.25,-21172.5,-14.12,-14.115,-1242.5,213.75
2023-04-17,406.25,-20766.25,-13.84,-13.8441666666667,-990,-1396.25
2023-04-18,511.25,-20255,-13.5,-13.5033333333333,2887.5,2376.25
2023-04-19,243.75,-20011.25,-13.34,-13.3408333333333,2952.5,2708.75
2023-04-20,2961.25,-17050,-11.37,-11.3666666666667,-1771.25,-4732.5
2023-04-21,391.25,-16658.75,-11.11,-11.1058333333333,4117.5,3726.25
2023-04-24,-800,-17458.75,-11.64,-11.6391666666667,-4798.75,-3998.75
2023-04-25,62.5,-17396.25,-11.6,-11.5975,715,652.5
2023-04-26,-793.75,-18190,-12.13,-12.1266666666667,-633.75,160
2023-04-27,921.25,-17268.75,-11.51,-11.5125,468.75,-452.5
2023-04-28,-1478.75,-18747.5,-12.5,-12.4983333333333,883.75,2362.5
2023-05-02,467.5,-18280,-12.19,-12.1866666666667,467.5,0
2023-05-03,-600,-18880,-12.59,-12.5866666666667,-600,0
2023-05-04,-1350,-20230,-13.49,-13.4866666666667,-1350,0
2023-05-05,-1565,-21795,-14.53,-14.53,-1565,0
2023-05-08,-348.75,-22143.75,-14.76,-14.7625,-348.75,0
2023-05-09,297.5,-21846.25,-14.56,-14.5641666666667,297.5,0
2023-05-10,-1990,-23836.25,-15.89,-15.8908333333333,-1990,0
2023-05-11,4638.75,-19197.5,-12.8,-12.7983333333333,4638.75,0
2023-05-12,7015,-12182.5,-8.12,-8.12166666666667,7015,0
2023-05-15,-121.25,-12303.75,-8.2,-8.2025,-121.25,0
2023-05-16,608.75,-11695,-7.8,-7.79666666666667,608.75,0
2023-05-17,490,-11205,-7.47,-7.47,490,0
2023-05-18,-1446.25,-12651.25,-8.43,-8.43416666666667,-1446.25,0
2023-05-19,396.25,-12255,-8.17,-8.17,396.25,0
2023-05-22,411.25,-11843.75,-7.9,-7.89583333333333,411.25,0
2023-05-23,550,-11293.75,-7.53,-7.52916666666667,550,0
2023-05-24,793.75,-10500,-7,-7,793.75,0
2023-05-25,-1461.25,-11961.25,-7.97,-7.97416666666667,-1461.25,0
2023-05-26,-686.25,-12647.5,-8.43,-8.43166666666667,-686.25,0
2023-05-29,433.75,-12213.75,-8.14,-8.1425,433.75,0
2023-05-30,195,-12018.75,-8.01,-8.0125,195,0
2023-05-31,181.25,-11837.5,-7.89,-7.89166666666667,181.25,0
2023-06-01,-1560,-13397.5,-8.93,-8.93166666666667,-1560,0
2023-06-02,363.75,-13033.75,-8.69,-8.68916666666667,363.75,0
2023-06-05,298.75,-12735,-8.49,-8.49,298.75,0
2023-06-06,522.5,-12212.5,-8.14,-8.14166666666667,522.5,0
2023-06-07,428.75,-11783.75,-7.86,-7.85583333333333,428.75,0
2023-06-08,-1260,-13043.75,-8.7,-8.69583333333333,-1260,0
2023-06-09,445,-12598.75,-8.4,-8.39916666666667,445,0
