,Unnamed: 0,id,strategy,instrument_str,entry_timestamp,entry_transaction_type,entry_quantity,entry_price,exit_timestamp,exit_transaction_type,exit_quantity,exit_price,pnl_absolute,pnl_percentage,pnl_cumulative_absolute,pnl_cumulative_percentage,equity_curve,drawdown_percentage
10352,5325,1432594,3092,NSE_FO:BANKNIFTY15JUL2135900PE,2021-07-15 13:42:00,1,25,62.2,2021-07-15 14:23:00,0.0,25.0,49.25,323.75,20.82,247816.25,144.92,418816.25,-0.79
10353,5326,1432593,3092,NSE_FO:BANKNIFTY15JUL2135900CE,2021-07-15 13:42:00,1,25,65.75,2021-07-15 14:23:00,0.0,25.0,52.8,323.75,19.7,247492.5,144.73,418492.5,-0.87
10354,5327,1432592,3092,NSE_FO:BANKNIFTY15JUL2136000PE,2021-07-15 11:16:00,1,25,126.4,2021-07-15 13:42:00,0.0,25.0,127.65,-31.25,-0.99,247168.75,144.54,418168.75,-0.94
10355,5328,1432591,3092,NSE_FO:BANKNIFTY15JUL2136000CE,2021-07-15 11:16:00,1,25,76.75,2021-07-15 13:42:00,0.0,25.0,30.75,1150.0,59.93,247200.0,144.56,418200.0,-0.94
10356,5329,1432590,3092,NSE_FO:BANKNIFTY15JUL2135700PE,2021-07-15 09:25:00,1,25,94.05,2021-07-15 11:16:00,0.0,25.0,29.3,1618.75,68.85,246050.0,143.89,417050.0,-1.21
10357,5330,1432589,3092,NSE_FO:BANKNIFTY15JUL2135700CE,2021-07-15 09:25:00,1,25,112.05,2021-07-15 11:16:00,0.0,25.0,278.9,-4171.25,-148.91,244431.25,142.94,415431.25,-1.59
10358,5331,1432588,3092,NSE_FO:BANKNIFTY15JUL2135500PE,2021-07-14 09:25:00,1,25,146.6,2021-07-14 15:09:00,0.0,25.0,72.95,1841.25,50.24,248602.5,145.38,419602.5,-0.6
10359,5332,1432587,3092,NSE_FO:BANKNIFTY15JUL2135500CE,2021-07-14 09:25:00,1,25,195.95,2021-07-14 15:09:00,0.0,25.0,257.0,-1526.25,-31.16,246761.25,144.3,417761.25,-1.04
10360,5333,1432586,3092,NSE_FO:BANKNIFTY15JUL2135400PE,2021-07-13 09:25:00,1,25,175.45,2021-07-13 15:09:00,0.0,25.0,94.0,2036.25,46.42,248287.5,145.2,419287.5,-0.68
10361,5334,1432585,3092,NSE_FO:BANKNIFTY15JUL2135400CE,2021-07-13 09:25:00,1,25,223.0,2021-07-13 15:09:00,0.0,25.0,366.65,-3591.25,-64.42,246251.25,144.01,417251.25,-1.16
10362,5335,1432584,3092,NSE_FO:BANKNIFTY15JUL2135300PE,2021-07-12 09:25:00,1,25,221.15,2021-07-12 15:09:00,0.0,25.0,273.7,-1313.75,-23.76,249842.5,146.11,420842.5,-0.31
10363,5336,1432583,3092,NSE_FO:BANKNIFTY15JUL2135300CE,2021-07-12 09:25:00,1,25,303.0,2021-07-12 15:09:00,0.0,25.0,189.65,2833.75,37.41,251156.25,146.88,422156.25,0.0
10364,5337,1432582,3092,NSE_FO:BANKNIFTY15JUL2135000PE,2021-07-09 09:25:00,1,25,366.45,2021-07-09 15:09:00,0.0,25.0,228.45,3450.0,37.66,248322.5,145.22,419322.5,-0.39
10365,5338,1432581,3092,NSE_FO:BANKNIFTY15JUL2135000CE,2021-07-09 09:25:00,1,25,365.65,2021-07-09 15:09:00,0.0,25.0,380.05,-360.0,-3.94,244872.5,143.2,415872.5,-1.21
10366,5339,1432580,3092,NSE_FO:BANKNIFTY08JUL2135200PE,2021-07-08 15:06:00,1,25,8.95,2021-07-08 15:09:00,0.0,25.0,3.7,131.25,58.66,245232.5,143.41,416232.5,-1.12
10367,5340,1432579,3092,NSE_FO:BANKNIFTY08JUL2135200CE,2021-07-08 15:06:00,1,25,30.35,2021-07-08 15:09:00,0.0,25.0,27.9,61.25,8.07,245101.25,143.33,416101.25,-1.15
10368,5341,1432578,3092,NSE_FO:BANKNIFTY08JUL2135200PE,2021-07-08 15:02:00,1,25,11.8,2021-07-08 15:06:00,0.0,25.0,8.95,71.25,24.15,245040.0,143.3,416040.0,-1.17
10369,5342,1432577,3092,NSE_FO:BANKNIFTY08JUL2135200CE,2021-07-08 15:02:00,1,25,41.15,2021-07-08 15:06:00,0.0,25.0,30.35,270.0,26.25,244968.75,143.26,415968.75,-1.18
10370,5343,1432576,3092,NSE_FO:BANKNIFTY08JUL2135200PE,2021-07-08 14:56:00,1,25,39.0,2021-07-08 15:02:00,0.0,25.0,11.8,680.0,69.74,244698.75,143.1,415698.75,-1.25
10371,5344,1432575,3092,NSE_FO:BANKNIFTY08JUL2135200CE,2021-07-08 14:56:00,1,25,34.0,2021-07-08 15:02:00,0.0,25.0,41.15,-178.75,-21.03,244018.75,142.7,415018.75,-1.41
10372,5345,1432574,3092,NSE_FO:BANKNIFTY08JUL2135200PE,2021-07-08 14:43:00,1,25,56.6,2021-07-08 14:56:00,0.0,25.0,39.0,440.0,31.1,244197.5,142.81,415197.5,-1.37
