,id,strategy,instrument_str,entry_timestamp,entry_transaction_type,entry_quantity,entry_price,exit_timestamp,exit_transaction_type,exit_quantity,exit_price,pnl_absolute,pnl_percentage,pnl_cumulative_absolute,pnl_cumulative_percentage,equity_curve,drawdown_percentage,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60
335,652885,953,NSE_FO:BANKNIFTY12MAY2234600PE,06-05-2022 09:20,1,25,488.5,06-05-2022 15:01,0,25,484.9,90.0,0.74,-7463.75,98.06,67536.25,-24.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,668991,953,NSE_FO:BANKNIFTY12MAY2233500PE,09-05-2022 09:20,0,25,195.3,09-05-2022 15:01,1,25,129.65,-1641.25,-33.61,-9105.0,96.01,65895.0,-26.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,668989,953,NSE_FO:BANKNIFTY12MAY2234000CE,09-05-2022 09:20,1,25,440.0,09-05-2022 15:01,0,25,495.1,-1377.5,-12.52,-10482.5,93.98,64517.5,-27.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,668987,953,NSE_FO:BANKNIFTY12MAY2234500CE,09-05-2022 09:20,0,25,218.3,09-05-2022 15:01,1,25,236.7,460.0,8.43,-10022.5,98.2,64977.5,-27.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,668986,953,NSE_FO:BANKNIFTY12MAY2234000PE,09-05-2022 09:20,1,25,376.7,09-05-2022 15:01,0,25,268.75,2698.75,28.66,-7323.75,97.58,67676.25,-24.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,669346,953,NSE_FO:BANKNIFTY12MAY2233900PE,10-05-2022 09:20,0,25,141.2,10-05-2022 15:01,1,25,83.75,-1436.25,-40.69,-8760.0,96.32,66240.0,-25.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,669343,953,NSE_FO:BANKNIFTY12MAY2234400CE,10-05-2022 09:20,1,25,338.1,10-05-2022 15:01,0,25,382.85,-1118.75,-13.24,-9878.75,94.52,65121.25,-27.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,669342,953,NSE_FO:BANKNIFTY12MAY2234900CE,10-05-2022 09:20,0,25,132.65,10-05-2022 15:01,1,25,140.35,192.5,5.8,-9686.25,98.23,65313.75,-26.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,669312,953,NSE_FO:BANKNIFTY12MAY2234400PE,10-05-2022 09:20,1,25,316.25,10-05-2022 15:01,0,25,212.55,2592.5,32.79,-7093.75,97.97,67906.25,-23.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,677889,953,NSE_FO:BANKNIFTY12MAY2234200PE,11-05-2022 09:20,0,25,96.25,11-05-2022 15:01,1,25,73.65,-565.0,-23.48,-7658.75,97.52,67341.25,-24.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
