,id,strategy,instrument_str,entry_timestamp,entry_transaction_type,entry_quantity,entry_price,exit_timestamp,exit_transaction_type,exit_quantity,exit_price,pnl_absolute,pnl_percentage,pnl_cumulative_absolute,pnl_cumulative_percentage,equity_curve,drawdown_percentage,date,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
84,272391,511,NSE_FO:BANKNIFTY10SEP2023100PE,09-07-2020 09:15,1,25,401.0,07-09-2020 13:45,0,25,395.5,137.5,1.37,39886.25,25.41,196886.25,-1.75,07-09-2020,1,137.5,0,0.0,-3510.0,,,,30-10-2020,1.0,3917.5
85,272419,511,NSE_FO:BANKNIFTY10SEP2023000CE,09-07-2020 13:45,1,25,320.85,07-09-2020 14:15,0,25,336.75,-397.5,-4.96,39488.75,25.15,196488.75,-1.95,07-09-2020,0,0.0,1,-397.5,-3907.5,,,,02-11-2020,1.0,-2000.0
86,272430,511,NSE_FO:BANKNIFTY10SEP2023000PE,09-07-2020 14:15,1,25,323.35,07-09-2020 14:30,0,25,353.55,-755.0,-9.34,38733.75,24.67,195733.75,-2.33,07-09-2020,0,0.0,2,-1152.5,-4662.5,,,,03-11-2020,1.0,-2000.0
87,272452,511,NSE_FO:BANKNIFTY10SEP2022900CE,09-07-2020 14:30,1,25,341.2,07-09-2020 15:15,0,25,356.45,-381.25,-4.47,38352.5,24.43,195352.5,-2.52,07-09-2020,0,0.0,3,-1533.75,-5043.75,,,,04-11-2020,1.0,-2000.0
88,272456,511,NSE_FO:BANKNIFTY10SEP2023000PE,09-07-2020 15:15,1,25,335.65,07-09-2020 15:30,0,25,311.0,616.25,7.34,38968.75,24.82,195968.75,-2.21,07-09-2020,1,616.25,0,0.0,-4427.5,,,,05-11-2020,1.0,871.25
89,272458,511,NSE_FO:BANKNIFTY10SEP2023000PE,09-08-2020 09:15,1,25,311.0,08-09-2020 13:15,0,25,281.6,735.0,9.45,39703.75,25.29,196703.75,-1.84,08-09-2020,2,1351.25,0,0.0,-3692.5,,,,06-11-2020,2.0,-2000.0
90,272461,511,NSE_FO:BANKNIFTY10SEP2023000CE,09-08-2020 13:15,1,25,255.2,08-09-2020 14:15,0,25,237.95,431.25,6.76,40135.0,25.56,197135.0,-1.63,08-09-2020,3,1782.5,0,0.0,-3261.25,,,,09-11-2020,1.0,-1787.5
91,272466,511,NSE_FO:BANKNIFTY10SEP2022900PE,09-08-2020 14:15,1,25,240.7,08-09-2020 15:30,0,25,367.35,-3166.25,-52.62,36968.75,23.55,193968.75,-3.21,08-09-2020,0,0.0,1,-3166.25,-6427.5,,,,10-11-2020,1.0,1531.25
92,272490,511,NSE_FO:BANKNIFTY10SEP2022200PE,09-09-2020 14:45,1,25,158.2,09-09-2020 15:30,0,25,103.9,1357.5,34.32,38326.25,24.41,195326.25,-2.53,09-09-2020,1,1357.5,0,0.0,-5070.0,,,,12-11-2020,2.0,4493.75
93,272526,511,NSE_FO:BANKNIFTY10SEP2022500CE,09-10-2020 09:45,1,25,82.05,10-09-2020 13:45,0,25,12.45,1740.0,84.83,40066.25,25.52,197066.25,-1.66,10-09-2020,2,3097.5,0,0.0,-3330.0,,,,13-11-2020,1.0,7873.75
94,272563,511,NSE_FO:BANKNIFTY10SEP2022300PE,09-10-2020 13:45,1,25,35.0,10-09-2020 15:30,0,25,0.2,870.0,99.43,40936.25,26.07,197936.25,-1.23,10-09-2020,3,3967.5,0,0.0,-2460.0,,,,17-11-2020,1.0,-2000.0
95,272580,511,NSE_FO:BANKNIFTY17SEP2022500CE,09-11-2020 09:45,1,25,334.6,11-09-2020 13:30,0,25,278.05,1413.75,16.9,42350.0,26.97,199350.0,-0.52,11-09-2020,4,5381.25,0,0.0,-1046.25,,,,18-11-2020,1.0,-2000.0
96,272603,511,NSE_FO:BANKNIFTY17SEP2022300PE,09-11-2020 13:30,1,25,356.6,11-09-2020 15:30,0,25,210.0,3665.0,41.11,46015.0,29.31,203015.0,0.0,11-09-2020,5,9046.25,0,0.0,0.0,,,,19-11-2020,1.0,-2000.0
97,272640,511,NSE_FO:BANKNIFTY17SEP2022600CE,09-14-2020 09:45,1,25,351.9,14-09-2020 13:00,0,25,304.8,1177.5,13.38,47192.5,30.06,204192.5,0.0,14-09-2020,6,10223.75,0,0.0,0.0,,,,20-11-2020,1.0,-2000.0
98,272647,511,NSE_FO:BANKNIFTY17SEP2022500PE,09-14-2020 13:00,1,25,248.0,14-09-2020 15:30,0,25,375.1,-3177.5,-51.25,44015.0,28.04,201015.0,-1.56,14-09-2020,0,0.0,1,-3177.5,-3177.5,,,,23-11-2020,2.0,2260.0
99,272678,511,NSE_FO:BANKNIFTY17SEP2022200CE,09-15-2020 12:00,1,25,335.45,15-09-2020 14:15,0,25,325.35,252.5,3.01,44267.5,28.2,201267.5,-1.43,15-09-2020,1,252.5,0,0.0,-2925.0,,,,24-11-2020,1.0,3355.0
100,272697,511,NSE_FO:BANKNIFTY17SEP2022200PE,09-15-2020 14:15,1,25,239.0,15-09-2020 15:15,0,25,138.25,2518.75,42.15,46786.25,29.8,203786.25,-0.2,15-09-2020,2,2771.25,0,0.0,-406.25,,,,25-11-2020,2.0,4308.75
101,272701,511,NSE_FO:BANKNIFTY17SEP2022500CE,09-15-2020 15:15,1,25,250.0,15-09-2020 15:30,0,25,265.3,-382.5,-6.12,46403.75,29.56,203403.75,-0.39,15-09-2020,0,0.0,1,-382.5,-788.75,,,,26-11-2020,2.0,726.25
102,272705,511,NSE_FO:BANKNIFTY17SEP2022300PE,09-16-2020 12:15,1,25,201.4,16-09-2020 14:45,0,25,50.6,3770.0,74.88,50173.75,31.96,207173.75,0.0,16-09-2020,1,3770.0,0,0.0,0.0,,,,27-11-2020,2.0,-1701.25
103,272709,511,NSE_FO:BANKNIFTY17SEP2022600CE,09-16-2020 14:45,1,25,201.45,16-09-2020 15:30,0,25,155.05,1160.0,23.03,51333.75,32.7,208333.75,0.0,16-09-2020,2,4930.0,0,0.0,0.0,,,,01-12-2020,2.0,-158.75
